Date,Open,High,Low,Close,Adj Close,Volume
2013-11-11,141.000000,145.419998,137.100006,144.699997,144.699997,13997600
2013-11-12,144.690002,144.699997,136.179993,137.800003,137.800003,14985200
2013-11-13,140.839996,142.369995,136.339996,138.699997,138.699997,12658300
2013-11-14,138.919998,140.399994,134.110001,137.600006,137.600006,12203700
2013-11-15,136.850006,137.949997,134.350006,135.449997,135.449997,9900200
2013-11-18,135.270004,135.449997,119.610001,121.580002,121.580002,23138200
2013-11-19,119.430000,129.000000,119.220001,126.089996,126.089996,19816200
2013-11-20,126.080002,127.449997,119.059998,121.110001,121.110001,13849600
2013-11-21,122.889999,124.790001,120.250000,122.099998,122.099998,11903800
2013-11-22,121.580002,122.750000,117.930000,121.379997,121.379997,11096700
2013-11-25,124.500000,125.839996,120.300003,120.839996,120.839996,10267300
2013-11-26,119.379997,122.720001,116.099998,120.500000,120.500000,13885500
2013-11-27,121.309998,126.949997,119.519997,126.940002,126.940002,12367600
2013-11-29,129.770004,130.589996,126.980003,127.279999,127.279999,9716200
2013-12-02,126.349998,128.550003,123.930000,124.169998,124.169998,7751200
2013-12-03,132.679993,144.940002,131.589996,144.699997,144.699997,25682400
2013-12-04,144.320007,144.429993,137.130005,138.949997,138.949997,13147700
2013-12-05,140.149994,143.350006,139.500000,140.479996,140.479996,9288400
2013-12-06,141.509995,142.490005,136.300003,137.360001,137.360001,7909600
2013-12-09,137.000000,141.699997,134.210007,141.600006,141.600006,9061500
2013-12-10,140.050003,145.869995,139.860001,142.190002,142.190002,10748200
2013-12-11,141.880005,143.050003,139.490005,139.649994,139.649994,7137800
2013-12-12,139.699997,148.240005,138.529999,147.470001,147.470001,10767800
2013-12-13,148.050003,151.800003,147.320007,147.649994,147.649994,10591900
2013-12-16,148.479996,150.429993,146.100006,147.940002,147.940002,6675300
2013-12-17,147.580002,154.630005,146.320007,152.460007,152.460007,10495000
2013-12-18,152.240005,154.899994,145.949997,147.979996,147.979996,11581900
2013-12-19,146.899994,147.000000,139.100006,140.720001,140.720001,12740000
2013-12-20,141.580002,144.350006,141.580002,143.240005,143.240005,7412600
2013-12-23,144.850006,146.240005,142.600006,143.550003,143.550003,5385500
2013-12-24,150.000000,154.970001,149.820007,151.410004,151.410004,9941500
2013-12-26,155.039993,158.000000,154.289993,155.500000,155.500000,7129500
2013-12-27,155.300003,155.500000,150.800003,151.119995,151.119995,5460200
2013-12-30,151.119995,154.809998,150.750000,152.440002,152.440002,4467500
2013-12-31,152.320007,153.199997,148.660004,150.429993,150.429993,4262400
2014-01-02,149.800003,152.479996,146.550003,150.100006,150.100006,6188400
2014-01-03,150.000000,152.190002,148.600006,149.559998,149.559998,4695000
2014-01-06,150.000000,150.399994,145.240005,147.000000,147.000000,5361100
2014-01-07,147.619995,150.399994,145.250000,149.360001,149.360001,5034100
2014-01-08,148.850006,153.699997,148.759995,151.279999,151.279999,6163200
2014-01-09,152.500000,153.429993,146.850006,147.529999,147.529999,5382000
2014-01-10,148.460007,148.899994,142.250000,145.720001,145.720001,7446100
2014-01-13,145.779999,147.000000,137.820007,139.339996,139.339996,6316100
2014-01-14,140.500000,162.000000,136.669998,161.270004,161.270004,27607000
2014-01-15,168.449997,172.229996,162.100006,164.130005,164.130005,20465600
2014-01-16,162.500000,172.699997,162.399994,170.970001,170.970001,11959400
2014-01-17,170.190002,173.199997,167.949997,170.009995,170.009995,9206200
2014-01-21,171.240005,177.289993,170.809998,176.679993,176.679993,9734700
2014-01-22,177.809998,180.320007,174.759995,178.559998,178.559998,7022600
2014-01-23,177.229996,182.380005,173.419998,181.500000,181.500000,7867400
2014-01-24,177.850006,180.479996,173.529999,174.600006,174.600006,7664300
2014-01-27,175.160004,177.919998,164.710007,169.619995,169.619995,8716400
2014-01-28,171.500000,178.979996,171.000000,178.380005,178.380005,6093400
2014-01-29,175.300003,179.089996,173.130005,175.229996,175.229996,5935500
2014-01-30,178.000000,184.779999,177.009995,182.839996,182.839996,8565000
2014-01-31,178.850006,186.000000,178.509995,181.410004,181.410004,6508800
2014-02-03,182.889999,184.880005,175.160004,177.110001,177.110001,6764900
2014-02-04,180.699997,181.600006,176.199997,178.729996,178.729996,4686300
2014-02-05,178.300003,180.589996,169.360001,174.419998,174.419998,7268000
2014-02-06,176.300003,180.110001,176.000000,178.380005,178.380005,5841600
2014-02-07,181.009995,186.630005,179.600006,186.529999,186.529999,8928500
2014-02-10,189.339996,199.300003,189.320007,196.559998,196.559998,12970700
2014-02-11,198.970001,202.199997,192.699997,196.619995,196.619995,10709900
2014-02-12,195.779999,198.270004,194.320007,195.320007,195.320007,5173700
2014-02-13,193.339996,202.720001,193.250000,199.630005,199.630005,8029300
2014-02-14,198.100006,201.880005,197.000000,198.229996,198.229996,6158000
2014-02-18,205.240005,206.000000,201.360001,203.699997,203.699997,9332800
2014-02-19,203.699997,203.699997,193.410004,193.639999,193.639999,16169000
2014-02-20,215.009995,215.210007,206.270004,209.970001,209.970001,18002300
2014-02-21,211.639999,213.979996,209.190002,209.600006,209.600006,7818800
2014-02-24,208.759995,218.360001,208.320007,217.649994,217.649994,8278400
2014-02-25,230.000000,259.200012,228.449997,248.000000,248.000000,32681700
2014-02-26,258.579987,265.000000,247.500000,253.000000,253.000000,24604600
2014-02-27,261.250000,261.899994,248.330002,252.539993,252.539993,17945800
2014-02-28,249.649994,252.679993,242.550003,244.809998,244.809998,14589800
2014-03-03,237.259995,251.649994,234.990005,250.559998,250.559998,13089300
2014-03-04,258.480011,260.000000,252.830002,254.839996,254.839996,8745600
2014-03-05,256.720001,256.989990,251.800003,252.660004,252.660004,5935700
2014-03-06,254.139999,257.500000,249.449997,252.940002,252.940002,7361100
2014-03-07,252.940002,254.850006,244.410004,246.210007,246.210007,7812300
2014-03-10,242.699997,243.000000,236.059998,238.839996,238.839996,7728100
2014-03-11,236.500000,244.600006,232.429993,234.410004,234.410004,8810100
2014-03-12,231.500000,247.500000,231.110001,241.490005,241.490005,9754400
2014-03-13,243.789993,244.190002,234.000000,237.789993,237.789993,6236300
2014-03-14,235.289993,236.940002,228.320007,230.970001,230.970001,8289700
2014-03-17,234.949997,237.929993,230.500000,233.979996,233.979996,5912600
